id,name,description,min_safety_class,item_name,price,slug,category_id
1,Чистый амфетамин,Представляет собой однородный порошок белого или кремового цвета со специфическим запахом. Считается наиболее качественным видом наркотика.,3,1 грамм,5000,pure_amphetamine,7
2,Амфетамин в таблетках,Прием стимулятора в таблетированной форме пользуется среди наркозависимых большой популярностью.,2,5 таблеток,3000,amphetamine_in_tablets,7
3,Мокрый фен,Жидкая форма представляет собой концентрат психоактивного вещества.,4,1 ампула (2 грамма),13000,liquid_amphetamine,7
4,Таблетки экстази,"Экстази также называют XTC, чупа-чупс, Манди, Molly и т.д. Яркие таблетки принимаются энтерально и дают эффект уже через 30-40 минут.",1,10 таблеток,15000,ecstasy_pills,10
5,Тесла,"Тесла представляет собой подвид экстази, чаще всего имеющий оранжевый оттенок. Это таблетки, включающие в себя 240 грамм активного вещества, т.е. практически летальную дозу. Данный вид наркотического вещества чаще всего выпускают в ночных клубах.",3,1 таблетка,2000,tesla,10
6,МДМА,"МДМА представляет собой вещество, которое использовалось в медицине в качестве коагулянта. Несмотря на кровоостанавливающие свойства, по прямому назначению оно не применялось: о МДМА вспомнили только через несколько десятков лет из-за схожести с мескалином.",2,5 таблеток,4000,mdma,10
7,Ешка,"Ешка представляет собой экстази на сленге молодежи. Данный наркотик обладает сильным эффектом и часто встречается на концертах, рейв-тусовках, в клубах и т.д. ",1,15 таблеток,5000,e,10
8,Мелатонин,Препарат от нарушения сна,1,1 упаковка (100 таблеток),800,melatonin,11
9,Героин (Афганистан),Отборный героин с низовий афганской деревни.,5,10 мг,5000,heroine-afganistan,12
10,Героин (Куба),Отборный героин с низовий кубинских плантаций.,6,10 мг,6500,heroine-cuba,12
11,Героин (Украина),Отборный героин с украинских свиноферм.,5,15 мг,4000,heroine-ua,12
12,Опий-сырец (Афганистан),Субстанцию можно использовать для своего творчества.,6,50 грамм,100000,opium-raw,13
13,Амидон,Описание товара...,3,10 таблеток,10000,amidon,14
14,Дольфин,Описание товара...,3,15 таблеток,20000,dolfin,14
15,Метадон,Метадон применяется в ряде стран в заместительной терапии употребления «тяжёлых» наркотиков как заместитель героина («метадоновая программа»).,4,10 таблеток,20000,matadounium,14
16,Конопля посевная,Тут все понятно.,2,1 грамм,2000,cannabis_posev,15
17,Конопля индийская,Лучший сорт Индии.,2,1 грамм,3000,cannabis_india,15
18,Конопля сорная,"Конопля сорная — подвид конопли посевной, впервые описанный в 1924 году Дмитрием Янишевским как самостоятельный вид. Растение рудеральное, невысокое (до 60 см), редко ветвящееся, с небольшими тонкими листьями и тонким центральным стеблем. В благоприятных условиях растения могут достигать высоты 3 метра. По внешнему виду может быть похожа на культурную коноплю, являясь её специализированным сорняком. Созревает очень быстро (иногда к середине июля, при хорошем поливе).",2,1 грамм,1500,cannabis-sorn,15
19,Конопля высушенная,Для сладкого курева.,3,1 грамм,4000,cannabis-dry,15
20,Конопля (семена),Для своих плантаций.,3,1 грамм,4000,cannabis-semen,15
21,Гашиш (Афганистан),Топовый гашиш из верховий афганских гор.,3,1 грамм,2000,hashish-afgan,16
22,Гашиш (Россия),Описание товара...,3,1 грамм,1000,hashish-russia,16
23,Кокаин (Куба),Сладкий кокаин с негритянских плантаций Кубы.,5,1 грамм,12000,cocaine-cuba,17
24,Кокаин (Голландия),Европейское качество.,5,1 грамм,20000,cocaine-holland,17
25,Крек (Мексика),Самый лучший мексиканский крек на рынке.,5,1 грамм,10000,crack-mexico,18
26,Крек (США),Самый лучший американский крек на рынке.,5,1 грамм,13000,crack-usa,18
27,Крек (Пакистан),Описание товара...,5,1 грамм,8000,crack-pakistan,18
28,Крек (как у американских реперов),"Любишь американских нигга-реп про крек, текилу и чилл? Тогда ты по адресу! Лучший крек, как у XXXTenrationa и Фараона.",5,1 грамм,20000,crack-rap,18
29,ЛСД (Россия),Описание товара...,4,1 ампула (1.5 грамма),4000,lsd-russia,19
30,Мухомор (сушеный),Сушеные мухоморы из глубоких лесов России.,3,1 грамм,1000,muhomors,20
31,Белая поганка (сушеная),Описание товара...,3,1 грамм,900,white-pogan,20
32,Бледная поганка (сушеная),Внимание! Опасно! Перед употреблением ознакомиться с инструкцией!,4,25 мг,3000,bled-pogan,20
33,Нож Чекиста (Нож Победы с шкатулкой),"Длина клинка (мм) — 125.
Ширина клинка (мм) — 22.",1,1 шт,16000,nozh-chekista-nozh-pobedy-s-shkatulkoy,21
34,Нож Хищник D2 мельхиор Кизляр,"Длина клинка (мм) — 145.
Ширина клинка (мм) — 29.",1,1 шт,5992,nozh-khishchnik-d2-melkhior-kizlyar,21
35,Нож Орел граб/дамаск ИП Эмиров Кизляр,"Общая длина (мм): 275-315.
Длина клинка (мм): 150-180.",1,1 шт,4983,nozh-orel-grab-damask-ip-emirov-kizlyar,21
36,Мачете Yeti Black – Mr. Blade,"Общая длина (мм) — 444.
Длина клинка (мм) — 292.",1,1 шт,10615,machete-yeti-black-mr-blade,21
37,Нож Sting - G10 black s/w N.C.Custom,"Общая длина (мм) — 275.
Длина клинка (мм) — 149.",1,1 шт,10490,nozh-sting-g10-black-s-w-n-c-custom,21
38,Нож Боярин (кожа),"Настоящий мужской нож «Боярин» из коррозийно-стойкой стали 50*14 мф выгодно отличается от аналогичных своими физическими параметрами. При 425 мм общего размера, параметры самого клинка имеют 288 мм длины и 28 мм ширины. Толщина клинка 6мм и особая конфигурация стального полотна позволяет назвать его не просто туристическим ножом, а и мачете. Рукоять изделия облачена в кожу, но имеет алюминиевые навершие и гарду. Кожаные ножны надежно сохранят нож от внешних воздействий и предотвратят возможность пораниться при хранении и транспортировке. ГОСТ 1 52737-2007 причисляет этот клинок к категории охотничьих тесаков и разделочных инструментов, а это значит, что купить Боярин Златоуст можно в свободной продаже. Он не считается холодным оружием.",1,1 шт,5265,nozh-boyarin-kozha,21
45,Smith&Wesson Military&Police,"Пистолет имеет камеру с калибрами .40 S&W, .375 SIG, .45 ACP и 9x19 мм. Парабеллум. Версия .40 S&W в основном используется в правоохранительных целях, а 9x19 мм – для военного использования.",5,1 шт,29386,smith-wesson-military-police,26
46,Beretta 92,"Beretta 92 адаптирована к патронам размером 9x19 мм Парабеллум. Он имеет короткую отдачу. Он более мощный, чем более ранние итальянские пистолеты, которые имеют эффект продувки. Также Beretta 92 является точной, даже на большом расстоянии. Также некоторые люди находят дизайн этого пистолета элегантным.",5,1 шт,39238,beretta-42,26
47,Glock 17,"Пистолет имеет простую конструкцию с минимальным количеством деталей. Есть только 33 детали, включая магазин. Этот пистолет можно разобрать в течение минуты, используя только штифт или гвоздь. Многие детали взаимозаменяемы между различными моделями Glock. Glock 17 также прост в эксплуатации.",5,1 шт,50134,glock-17,26
48,Пистолет Макарова,"Действие автоматики ПМ основано на свободном затворе. Запирание ствола происходит за счёт инертной массы затвора. Упругость возвратной пружины, надетой на ствол, в самом запирании не участвует, она всего лишь возвращает затвор в переднее положение. Ударно-спусковой механизм двойного действия с открытым курком. В ПМ применён свободный ударник, не имеющий пружины, удерживающей его в заднем положении. Теоретически это может привести к самопроизвольному выстрелу при падении пистолета с большой высоты, но Н. Ф. Макаров считал, что ударник не обладает достаточной массой, чтобы всерьёз учитывать эту возможность.",5,1 шт,16249,makarich,26
49,Pecheneg,Единый пулемет «Печенег» предназначается для поражения живой силы врага и легкой техники. Его также можно использовать как зенитное орудие. Благодаря своим характеристикам он по праву считается одним из лучших образцов единых пулеметов в мире.,6,1 шт,192248,pecheneg,27
50,FN MAG,"FN MAG полноправно можно назвать «бельгийской лошадкой» в классе стрелкового вооружения. Оружейники из Fabrique Nationale постарались на славу, создав поистине хороший пулемёт. Достаточно простая и надежная конструкция в сочетании с гибкостью применения и адекватным боеприпасом обеспечили этому пулемету место в системе вооружений свыше чем 50 стран мира, включая саму Бельгию, Великобританию, Австралию, Канаду, США, Швецию и многие другие страны.",6,1 шт,210293,fn-mag,27
51,DongFeng 31 (DF-31A),DongFeng 31A или DF-31A (название по классификации НАТО: CSS-9 Mod-2) - китайская межконтинентальная баллистическая ракета с дальностью 11 200 километров.,7,1 шт,0,dong-feng,28
52,Т-90АМ,"В период холодной войны, СССР проводила активную политику в военной сфере, что обусловило производство относительно дешевой и дорогой версии танков. В последнее время основные мощности были сосредоточены на изготовлении Т-90АМ с различными модификациями, экспортируемыми в другие государства. Конструкция аналогична с Т-72, однако дополнена пушкой 125 мм, двигателем мощностью 1230 л.с и повышенной защитой. Цена варьируется от 4,25 до 4,5 млн долларов.",7,1 ед,276382384,t-90am,30
53,Pu-239,Плутоний.,7,50 грамм,36642000,pu-239,31
54,U-235,Уран.,7,1 кг,1407000,u-235,31
55,Азотная кислота,Описание товара...,1,100 кг,6500,azot-kislota,32
39,Baker,Мощность: 23 килотонны.,7,1 шт,1222190000,baker,23
40,Trident II,Мощность: 475 килотонны.,7,1 шт,2528740000,tident-ii,23
41,Castle Yankee,"Мощность: 13,5 мегатонн.",7,1 шт,83428380000,castle-yankee,23
42,Сибирская язва,Летальность: 20%.,7,1 ампула,924235134,siberian-yazva,24
43,Эбола,Летальность: 50%.,7,1 ампула,1154235356,ebola,24
44,CNT65-12344-PE (Project genesys),Летальность: 99%.,7,1 ампула,21642246384,cnt65-12344-pe,24
